000059,Ada Elementary School,460,94.4,4.2,11.9
000067,Ada High School,349,93.3,4.7,16.9
000083,Sandusky Middle School,407,88.5,8.9,37.4
000102,Meigs Primary School,359,92.0,5.6,25.2
000105,Meigs Intermediate School,326,92.8,6.6,18.4
000117,Adamsville Elementary School,255,94.0,6.3,13.6
000118,Hamilton Intermediate School,704,91.8,14.0,25.0
000119,Oak Hill Middle/High School,519,90.2,10.2,36.7
000124,Oak Hill Elementary,537,92.6,7.5,24.9
000131,Glass City Academy,364,40.0,72.2,99.7
000138,Pathway School of Discovery,819,91.3,10.3,30.2
000139,Alliance Academy of Cincinnati,351,86.4,15.1,58.7
000141,Addaville Elementary School,315,94.0,11.4,12.3
000177,Fairland West Elementary School,306,95.0,8.9,9.8
000187,Centerburg Middle School,243,94.5,0.4,12.8
000190,Buckeye West Elementary School,166,89.1,5.6,48.8
000208,Adena High School,253,91.6,12.6,27.0
000222,Wildwood Environmental Academy,341,91.9,9.1,27.9
000224,Adlai Stevenson School,287,89.6,18.1,34.4
000231,Unioto Elementary,1034,92.7,7.4,22.1
000232,Adrian Elementary School,266,91.7,7.0,26.7
000234,Ella P. Stewart Academy for Girls,211,92.0,2.4,27.1
000236,"Ohio Connections Academy, Inc",4743,95.7,28.7,11.5
000241,Quaker Digital Academy,753,90.2,36.7,18.2
000242,North Union Elementary School,657,94.4,5.5,10.7
000257,Alexander Elementary School,666,92.7,6.6,18.8
000265,North Royalton Elementary School,1509,94.2,5.6,12.9
000270,Main Street School,370,94.2,9.1,16.5
000282,Greater Ohio Virtual School,435,99.8,48.2,0.7
000288,Auglaize County Educational Academy,83,100.0,50.0,0.0
000291,Malvern Middle School,146,92.7,6.5,25.6
000296,Summit Academy Community School-Columbus,55,81.7,30.3,61.4
000297,Summit Academy Community School - Dayton,40,80.4,31.3,82.7
000298,Summit Academy Secondary - Akron,58,86.1,8.1,53.7
000300,Summit Academy Secondary - Canton,81,83.5,22.6,62.5
000301,Summit Academy - Toledo,124,88.3,11.9,47.3
000302,Summit Academy Community School - Parma,92,81.9,27.7,68.2
000303,Summit Academy Secondary - Youngstown,83,68.9,30.6,86.7
000305,Summit Academy Community School-Warren,114,92.0,17.2,27.0
