000556,A+ Arts Academy,Franklin
013232,A+ Children's Academy,Franklin
017585,Academy of Arts and Technology,Marion
021446,ACE Community Academy,Geauga
045187,Ada Exempted Village,Hardin
061903,Adams County Ohio Valley Local,Adams
049494,Adena Local,Ross
043489,Akron City,Summit
013254,Akron Preparatory School,Summit
012060,Akros Middle School,Summit
020729,AkroTech High School,Summit
013994,"Albert Einstein Academy for Letters, Arts and Sciences-Ohio",Cuyahoga
045906,Alexander Local,Athens
045757,Allen East Local,Allen
000139,Alliance Academy of Cincinnati,Hamilton
043497,Alliance City,Stark
133454,"Alliance Community Schools, Inc. dba Dayton Leadership Acade",Montgomery
143396,Alternative Education Academy,Summit
046847,Amanda-Clearcreek Local,Fairfield
045195,Amherst Exempted Village,Lorain
013195,Ann Jerkins-Harris Academy of Excellence,Lucas
049759,Anna Local,Shelby
046623,Ansonia Local,Darke
048207,Anthony Wayne Local,Lucas
048991,Antwerp Local,Paulding
000560,Apex Academy,Cuyahoga
047415,Arcadia Local,Hancock
046631,Arcanum-Butler Local,Darke
047043,Archbold-Area Local,Fulton
047423,Arlington Local,Hancock
143610,Arts & College Preparatory Academy,Franklin
043505,Ashland City,Ashland
043513,Ashtabula Area City,Ashtabula
043521,Athens City School District,Athens
049171,Aurora City,Portage
048298,Austintown Local Schools,Mahoning
134122,Autism Model School,Lucas
048124,Avon Lake City,Lorain
048116,Avon Local,Lorain
046706,Ayersville Local,Defiance
043539,Barberton City,Summit
045203,Barnesville Exempted Village,Belmont
046300,Batavia Local,Clermont
045765,Bath Local,Allen
043547,Bay Village City,Cuyahoga
043554,Beachwood City,Cuyahoga
015709,Beacon Academy,Stark
012501,Beacon Hill Community School AKA Beacon Hill Academy,Wayne
046425,Beaver Local,Columbiana
047241,Beavercreek City,Greene
043562,Bedford City,Cuyahoga
011390,Bella Academy of Excellence,Cuyahoga
043570,Bellaire Local,Belmont
047274,Bellbrook-Sugarcreek Local,Greene
043588,Bellefontaine City,Logan
043596,Bellevue City,Huron
043604,Belpre City,Washington
048074,Benjamin Logan Local,Logan
000843,Bennett Venture Academy,Lucas
048926,Benton Carroll Salem Local,Ottawa
043612,Berea City,Cuyahoga
047167,Berkshire Local,Geauga
046854,Berne Union Local,Fairfield
048611,Bethel Local,Miami
046318,Bethel-Tate Local,Clermont
043620,Bexley City,Franklin
046748,Big Walnut Local,Delaware
014231,Bio-Med Science Academy STEM School,Portage
048462,Black River Local,Ashland
046383,Blanchester Local,Clinton
046862,Bloom-Carroll Local,Fairfield
050096,Bloomfield-Mespo Local,Trumbull
049593,Bloom-Vernon Local,Scioto
045211,Bluffton Exempted Village,Allen
048306,Boardman Local,Mahoning
049767,Botkins Local,Shelby
043638,Bowling Green City School District,Wood
045229,Bradford Exempted Village,Darke
043646,Brecksville-Broadview Heights City,Cuyahoga
015710,Bridge Gate Community School,Franklin
045237,Bridgeport Exempted Village,Belmont
000311,Bridges Community Academy dba Bridges Preparatory Academy,Seneca
047613,Bright Local,Highland
050112,Bristol Local,Trumbull
012684,Broadway Academy,Cuyahoga
050120,Brookfield Local,Trumbull
043653,Brooklyn City,Cuyahoga
048678,Brookville Local,Montgomery
046177,Brown Local,Carroll
043661,Brunswick City,Medina
043679,Bryan City,Williams
046508,Buckeye Central Local,Crawford
045856,Buckeye Local,Ashtabula
047787,Buckeye Local,Jefferson
048470,Buckeye Local,Medina
000417,Buckeye On-Line School for Success,Columbiana
046755,Buckeye Valley Local,Delaware
043687,Bucyrus City,Crawford
045252,Caldwell Exempted Village,Noble
043695,Cambridge City,Guernsey
043703,Campbell City,Mahoning
046946,Canal Winchester Local,Fairfield
048314,Canfield Local,Mahoning
043711,Canton City,Stark
013255,Canton College Preparatory School,Stark
049833,Canton Local,Stark
017537,Capital Collegiate Preparatory Academy,Franklin
047175,Cardinal Local,Geauga
048793,Cardington-Lincoln Local,Morrow
045260,Carey Exempted Village Schools,Wyandot
050419,Carlisle Local,Warren
045278,Carrollton Exempted Village,Carroll
019221,Case Preparatory Academy,Summit
047258,Cedar Cliff Local,Greene
043729,Celina City,Mercer
047829,Centerburg Local,Knox
043737,Centerville City,Montgomery
046714,Central Local,Defiance
019199,Central Point Preparatory Academy,Franklin
010036,Cesar Chavez College Preparatory School,Franklin
045286,Chagrin Falls Exempted Village,Cuyahoga
050138,Champion Local,Trumbull
047183,Chardon Local,Geauga
007999,Charles School at Ohio Dominican University,Franklin
045294,Chesapeake Union Exempted Village,Lawrence
043745,Chillicothe City,Ross
050534,Chippewa Local,Wayne
016850,Cincinnati Achievement Academy,Hamilton
019530,Cincinnati Classical Academy,Hamilton
133512,Cincinnati College Preparatory Academy,Hamilton
043752,Cincinnati Public Schools,Hamilton
013864,Cincinnati Technology Academy,Hamilton
043760,Circleville City,Pickaway
134247,City Day Community School,Montgomery
046284,Clark-Shawnee Local,Clark
049601,Clay Local,Scioto
043778,Claymont City,Tuscarawas
049411,Clear Fork Valley Local,Richland
